date,menu_item,units_sold,revenue,price_per_unit,is_holiday,day_of_week,day_name,month,week_of_year,is_weekend
2023-01-01,Chicken Biryani,122,26286.05,220,False,6,Sunday,1,52,True
2023-01-02,Chicken Biryani,83,18661.18,220,False,0,Monday,1,1,False
2023-01-03,Chicken Biryani,86,18558.81,220,False,1,Tuesday,1,1,False
2023-01-04,Chicken Biryani,81,17846.47,220,False,2,Wednesday,1,1,False
2023-01-05,Chicken Biryani,75,16294.22,220,False,3,Thursday,1,1,False
2023-01-06,Chicken Biryani,129,28865.6,220,False,4,Friday,1,1,False
2023-01-07,Chicken Biryani,117,25906.09,220,False,5,Saturday,1,1,True
2023-01-08,Chicken Biryani,101,22818.45,220,False,6,Sunday,1,1,True
2023-01-09,Chicken Biryani,93,20686.16,220,False,0,Monday,1,2,False
2023-01-10,Chicken Biryani,78,17155.03,220,False,1,Tuesday,1,2,False
2023-01-11,Chicken Biryani,86,18706.25,220,False,2,Wednesday,1,2,False
2023-01-12,Chicken Biryani,78,16835.53,220,False,3,Thursday,1,2,False
2023-01-13,Chicken Biryani,157,33687.19,220,False,4,Friday,1,2,False
2023-01-14,Chicken Biryani,116,25252.55,220,False,5,Saturday,1,2,True
2023-01-15,Chicken Biryani,103,22362.16,220,False,6,Sunday,1,2,True
2023-01-16,Chicken Biryani,89,19935.02,220,False,0,Monday,1,3,False
2023-01-17,Chicken Biryani,78,16650.89,220,False,1,Tuesday,1,3,False
2023-01-18,Chicken Biryani,98,21856.24,220,False,2,Wednesday,1,3,False
2023-01-19,Chicken Biryani,79,17758.64,220,False,3,Thursday,1,3,False
2023-01-20,Chicken Biryani,128,27422.59,220,False,4,Friday,1,3,False
2023-01-21,Chicken Biryani,130,29264.46,220,False,5,Saturday,1,3,True
2023-01-22,Chicken Biryani,118,26292.15,220,False,6,Sunday,1,3,True
2023-01-23,Chicken Biryani,91,20047.31,220,False,0,Monday,1,4,False
2023-01-24,Chicken Biryani,89,19119.35,220,False,1,Tuesday,1,4,False
2023-01-25,Chicken Biryani,79,17805.01,220,False,2,Wednesday,1,4,False
2023-01-26,Chicken Biryani,115,24888.32,220,True,3,Thursday,1,4,False
2023-01-27,Chicken Biryani,121,27213.3,220,False,4,Friday,1,4,False
2023-01-28,Chicken Biryani,146,32876.54,220,False,5,Saturday,1,4,True
2023-01-29,Chicken Biryani,115,24708.06,220,False,6,Sunday,1,4,True
2023-01-30,Chicken Biryani,84,18832.61,220,False,0,Monday,1,5,False
2023-01-31,Chicken Biryani,68,14710.56,220,False,1,Tuesday,1,5,False
2023-02-01,Chicken Biryani,72,16260.94,220,False,2,Wednesday,2,5,False
2023-02-02,Chicken Biryani,69,15609.7,220,False,3,Thursday,2,5,False
2023-02-03,Chicken Biryani,140,30794.92,220,False,4,Friday,2,5,False
2023-02-04,Chicken Biryani,112,24643.96,220,False,5,Saturday,2,5,True
2023-02-05,Chicken Biryani,89,20059.63,220,False,6,Sunday,2,5,True
2023-02-06,Chicken Biryani,72,15594.85,220,False,0,Monday,2,6,False
2023-02-07,Chicken Biryani,84,18189.09,220,False,1,Tuesday,2,6,False
2023-02-08,Chicken Biryani,89,19622.03,220,False,2,Wednesday,2,6,False
2023-02-09,Chicken Biryani,83,18063.65,220,False,3,Thursday,2,6,False
2023-02-10,Chicken Biryani,118,25207.04,220,False,4,Friday,2,6,False
2023-02-11,Chicken Biryani,123,27295.7,220,False,5,Saturday,2,6,True
2023-02-12,Chicken Biryani,105,22597.6,220,False,6,Sunday,2,6,True
2023-02-13,Chicken Biryani,70,15792.42,220,False,0,Monday,2,7,False
2023-02-14,Chicken Biryani,88,19424.12,220,False,1,Tuesday,2,7,False
2023-02-15,Chicken Biryani,79,16955.69,220,False,2,Wednesday,2,7,False
2023-02-16,Chicken Biryani,79,17222.76,220,False,3,Thursday,2,7,False
2023-02-17,Chicken Biryani,145,32640.88,220,False,4,Friday,2,7,False
2023-02-18,Chicken Biryani,131,27971.3,220,False,5,Saturday,2,7,True
2023-02-19,Chicken Biryani,105,22414.02,220,False,6,Sunday,2,7,True
2023-02-20,Chicken Biryani,79,17092.47,220,False,0,Monday,2,8,False
2023-02-21,Chicken Biryani,87,18939.49,220,False,1,Tuesday,2,8,False
2023-02-22,Chicken Biryani,87,19218.45,220,False,2,Wednesday,2,8,False
2023-02-23,Chicken Biryani,75,16267.55,220,False,3,Thursday,2,8,False
2023-02-24,Chicken Biryani,130,28825.03,220,False,4,Friday,2,8,False
2023-02-25,Chicken Biryani,125,27626.89,220,False,5,Saturday,2,8,True
2023-02-26,Chicken Biryani,91,19448.61,220,False,6,Sunday,2,8,True
2023-02-27,Chicken Biryani,83,18742.57,220,False,0,Monday,2,9,False
2023-02-28,Chicken Biryani,90,20354.39,220,False,1,Tuesday,2,9,False
2023-03-01,Chicken Biryani,105,22815.11,220,False,2,Wednesday,3,9,False
2023-03-02,Chicken Biryani,81,17880.73,220,False,3,Thursday,3,9,False
2023-03-03,Chicken Biryani,141,31150.4,220,False,4,Friday,3,9,False
2023-03-04,Chicken Biryani,133,29682.69,220,False,5,Saturday,3,9,True
2023-03-05,Chicken Biryani,121,26395.58,220,False,6,Sunday,3,9,True
2023-03-06,Chicken Biryani,88,19840.02,220,False,0,Monday,3,10,False
2023-03-07,Chicken Biryani,88,19706.5,220,False,1,Tuesday,3,10,False
2023-03-08,Chicken Biryani,153,33408.73,220,True,2,Wednesday,3,10,False
2023-03-09,Chicken Biryani,84,17965.45,220,False,3,Thursday,3,10,False
2023-03-10,Chicken Biryani,139,29718.56,220,False,4,Friday,3,10,False
2023-03-11,Chicken Biryani,108,23560.69,220,False,5,Saturday,3,10,True
2023-03-12,Chicken Biryani,101,22383.84,220,False,6,Sunday,3,10,True
2023-03-13,Chicken Biryani,78,17192.28,220,False,0,Monday,3,11,False
2023-03-14,Chicken Biryani,74,16568.34,220,False,1,Tuesday,3,11,False
2023-03-15,Chicken Biryani,83,17798.16,220,False,2,Wednesday,3,11,False
2023-03-16,Chicken Biryani,86,18816.64,220,False,3,Thursday,3,11,False
2023-03-17,Chicken Biryani,126,27304.6,220,False,4,Friday,3,11,False
2023-03-18,Chicken Biryani,123,27798.52,220,False,5,Saturday,3,11,True
2023-03-19,Chicken Biryani,128,28348.76,220,False,6,Sunday,3,11,True
2023-03-20,Chicken Biryani,90,19223.1,220,False,0,Monday,3,12,False
2023-03-21,Chicken Biryani,70,14975.63,220,False,1,Tuesday,3,12,False
2023-03-22,Chicken Biryani,88,19350.26,220,False,2,Wednesday,3,12,False
2023-03-23,Chicken Biryani,82,17968.4,220,False,3,Thursday,3,12,False
2023-03-24,Chicken Biryani,127,27729.8,220,False,4,Friday,3,12,False
2023-03-25,Chicken Biryani,137,30784.68,220,False,5,Saturday,3,12,True
2023-03-26,Chicken Biryani,113,24153.74,220,False,6,Sunday,3,12,True
2023-03-27,Chicken Biryani,89,19668.67,220,False,0,Monday,3,13,False
2023-03-28,Chicken Biryani,101,22808.56,220,False,1,Tuesday,3,13,False
2023-03-29,Chicken Biryani,76,17126.65,220,False,2,Wednesday,3,13,False
2023-03-30,Chicken Biryani,78,16718.5,220,False,3,Thursday,3,13,False
2023-03-31,Chicken Biryani,127,27140.81,220,False,4,Friday,3,13,False
2023-04-01,Chicken Biryani,141,31259.99,220,False,5,Saturday,4,13,True
2023-04-02,Chicken Biryani,118,26432.7,220,False,6,Sunday,4,13,True
2023-04-03,Chicken Biryani,84,19023.87,220,False,0,Monday,4,14,False
2023-04-04,Chicken Biryani,88,19681.08,220,False,1,Tuesday,4,14,False
2023-04-05,Chicken Biryani,87,19428.1,220,False,2,Wednesday,4,14,False
2023-04-06,Chicken Biryani,94,21179.49,220,False,3,Thursday,4,14,False
2023-04-07,Chicken Biryani,146,31906.47,220,False,4,Friday,4,14,False
2023-04-08,Chicken Biryani,122,26181.81,220,False,5,Saturday,4,14,True
2023-04-09,Chicken Biryani,118,26165.35,220,False,6,Sunday,4,14,True
2023-04-10,Chicken Biryani,87,18943.24,220,False,0,Monday,4,15,False
2023-04-11,Chicken Biryani,98,21031.18,220,False,1,Tuesday,4,15,False
2023-04-12,Chicken Biryani,86,18976.23,220,False,2,Wednesday,4,15,False
2023-04-13,Chicken Biryani,84,18084.15,220,False,3,Thursday,4,15,False
2023-04-14,Chicken Biryani,200,42902.04,220,True,4,Friday,4,15,False
2023-04-15,Chicken Biryani,136,29168.44,220,False,5,Saturday,4,15,True
2023-04-16,Chicken Biryani,122,26637.53,220,False,6,Sunday,4,15,True
2023-04-17,Chicken Biryani,83,17803.68,220,False,0,Monday,4,16,False
2023-04-18,Chicken Biryani,103,22556.97,220,False,1,Tuesday,4,16,False
2023-04-19,Chicken Biryani,87,19104.01,220,False,2,Wednesday,4,16,False
2023-04-20,Chicken Biryani,75,16121.35,220,False,3,Thursday,4,16,False
2023-04-21,Chicken Biryani,147,32097.2,220,False,4,Friday,4,16,False
2023-04-22,Chicken Biryani,134,28991.1,220,False,5,Saturday,4,16,True
2023-04-23,Chicken Biryani,116,26274.83,220,False,6,Sunday,4,16,True
2023-04-24,Chicken Biryani,86,19452.75,220,False,0,Monday,4,17,False
2023-04-25,Chicken Biryani,86,19064.8,220,False,1,Tuesday,4,17,False
2023-04-26,Chicken Biryani,107,22897.99,220,False,2,Wednesday,4,17,False
2023-04-27,Chicken Biryani,87,19277.96,220,False,3,Thursday,4,17,False
2023-04-28,Chicken Biryani,131,28757.23,220,False,4,Friday,4,17,False
2023-04-29,Chicken Biryani,110,24655.63,220,False,5,Saturday,4,17,True
2023-04-30,Chicken Biryani,116,26149.21,220,False,6,Sunday,4,17,True
2023-05-01,Chicken Biryani,82,17951.51,220,False,0,Monday,5,18,False
2023-05-02,Chicken Biryani,88,18831.73,220,False,1,Tuesday,5,18,False
2023-05-03,Chicken Biryani,61,13324.09,220,False,2,Wednesday,5,18,False
2023-05-04,Chicken Biryani,72,16161.55,220,False,3,Thursday,5,18,False
2023-05-05,Chicken Biryani,100,22481.43,220,False,4,Friday,5,18,False
2023-05-06,Chicken Biryani,119,26960.12,220,False,5,Saturday,5,18,True
2023-05-07,Chicken Biryani,92,19789.65,220,False,6,Sunday,5,18,True
2023-05-08,Chicken Biryani,66,14283.59,220,False,0,Monday,5,19,False
2023-05-09,Chicken Biryani,67,14891.74,220,False,1,Tuesday,5,19,False
2023-05-10,Chicken Biryani,69,15198.36,220,False,2,Wednesday,5,19,False
2023-05-11,Chicken Biryani,80,17498.08,220,False,3,Thursday,5,19,False
2023-05-12,Chicken Biryani,89,19879.74,220,False,4,Friday,5,19,False
2023-05-13,Chicken Biryani,106,22640.75,220,False,5,Saturday,5,19,True
